ויטל חיים 32  ירושלים ישראל,1,ירושלים,3000,224,"נועם-ממ""ד תורני לבנים", , ,,,,31.7892714,35.1917926
זכרון יעקב 3  ירושלים ישראל,1,ירושלים,3000,225,"בי""ס בית יעקב מטרסדורף", , ,,,,31.7957326,35.2000434
סורוצקין 38  ירושלים ישראל,1,ירושלים,3000,226,"בי""ס בית יעקב מקצועי ע""ש שרה ש", , ,,,,31.7983035,35.205776
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,227,"ביס ע""ש פולה בן גוריון", , ,,,,31.7708758,35.2099899
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,228,"ביס ע""ש פולה בן גוריון",כ,כ,,,,31.7708758,35.2099899
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,229,"ביס ע""ש פולה בן גוריון", , ,,,,31.7708758,35.2099899
סורוצקין 38  ירושלים ישראל,1,ירושלים,3000,230,"בי""ס בית יעקב מקצועי ע""ש שרה ש", , ,,,,31.7983035,35.205776
סורוצקין 40  ירושלים ישראל,1,ירושלים,3000,231,קרית הילד, , ,,,,31.7989982,35.2064508
ראשון לציון 7  ירושלים ישראל,1,ירושלים,3000,232,מנחת שלמה, , ,,,,31.7934448,35.2018829
סורוצקין 40  ירושלים ישראל,1,ירושלים,3000,233,קרית הילד, , ,,,,31.7989982,35.2064508
בן ציון 24  ירושלים ישראל,1,ירושלים,3000,234,בית יעקב גבעת שאול, , ,,,,31.7897609,35.1934983
ויטל חיים 32  ירושלים ישראל,1,ירושלים,3000,235,"נועם-ממ""ד תורני לבנים", , ,,,,31.7892714,35.1917926
הקבלן 8  ירושלים ישראל,1,ירושלים,3000,236,"בי""ס בית יעקב (דרך החיים)", , ,,,,31.7878774,35.1750603
הרב אבן דנן 30  ירושלים ישראל,1,ירושלים,3000,237,בית ספר בית יעקב הר נוף, , ,,,,31.7813237,35.1724917
זכרון יעקב 5  ירושלים ישראל,1,ירושלים,3000,238,"מרכז קהילתי ע""ש יעקב וקרולין",כ, ,,,,31.7957323,35.2004426
סורוצקין 38  ירושלים ישראל,1,ירושלים,3000,239,"בי""ס בית יעקב מקצועי ע""ש שרה ש", , ,,,,31.7983035,35.205776
ויטל חיים 32  ירושלים ישראל,,,,,,,,,,,,
סורוצקין 40  ירושלים ישראל,1,ירושלים,3000,241,קרית הילד, , ,,,,31.7989982,35.2064508
המג 1  ירושלים ישראל,,,,,,,,,,,,
סורוצקין 40  ירושלים ישראל,1,ירושלים,3000,243,קרית הילד, , ,,,,31.7989982,35.2064508
ראשון לציון 7  ירושלים ישראל,,,,,,,,,,,,
זכרון יעקב 3  ירושלים ישראל,,,,,,,,,,,,
המג 1  ירושלים ישראל,1,ירושלים,3000,246,"ביה""ס שיח סוד אוצר ירושלים", , ,,,,31.7903601,35.2001204
ראשון לציון 7  ירושלים ישראל,1,ירושלים,3000,247,מנחת שלמה, , ,,,,31.7934448,35.2018829
נג'ארה 27  ירושלים ישראל,1,ירושלים,3000,248,מרכז קהילתי רוס, , ,,,,31.7906094,35.1916144
